SMILES, Hamster Carcinogenicity
CC=O,1
C12C3=C(C=CC=C3)CC1=CC(=CC=2)NC(C)=O,1
O=C(N)\C(C2=CC=CO2)=C/C1=CC=C([N+]([O-])=O)O1,1
C1(N=CNN=1)N,0
Br(=O)(=O)[O-].[K+],1
[Cl-].[Cd+2].[Cl-],0
O=S(=O)([O-])[O-].[Cd+2],0
ClC1=CC(=NC(=N1)SCC(=O)O)NC2=CC=CC(=C2C)C,0
ClCOC,1
C=C(Cl)C=C,0
Clc1ccc(cc1)c2ccc(COC(C)(C)C(O)=O)cc2,0
O=C1OC2=C(C=CC=C2)C=C1,0
ClC(=C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)Cl,1
ClC(C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)(Cl)Cl,0
C=CCN(CC=C)N=O,1
Cl\C2=C(/Cl)C3(Cl)C1C4CC(C1C2(Cl)C3(Cl)Cl)C5OC45,0
O=C(N(C)C)Cl,1
CN(C)N,1
N(NC)C.[H]Cl.[H]Cl,1
CCO,0
O=C(N(CC)N=O)NCCO,1
O=C(N(CC)N=O)NCC(=O)C,1
C=O,0
[O-][N+](=O)C1=CC=C(O1)C2=CSC(=N2)NNC=O,1
O=CC1=CC=CO1,0
OCC1CO1,1
O=C2C1=C(OC)C=C(OC)C(Cl)=C1O[C@]32C(OC)=CC(C[C@@](C)3[H])=O,0
ClC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,1
NN,1
OS(=O)(=O)O.NN,1
CC(=O)N(O)C1=CC2=C(C=C1)C3=CC=CC=C3C2,1
OCCNN,0
O=C(C1=CC=NC=C1)NN,0
OC(=O)C1=CC=NC=C1,0
O=C(NC1=CC=CC(=C1)Cl)OC(C)C,0
O=C(NC1=CC=CC=C1)OC(C)C,0
[O-]C(C)=O.[O-]C(C)=O.[Pb+2].[OH-].[OH-].[Pb+2].[OH-].[OH-].[Pb+2],0
CN(C)CCN(CC2=CC=CS2)C1=NC=CC=C1.Cl,0
NC1=C2C(=NC(=N1)N)N=CC(=N2)CN(C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C,0
CN(N)C=O,1
O=C(C(=C)C)OC,0
CNN,1
O=C(C1=CC=CN=C1)CCCN(N=O)C,0
CC1=CC(=O)NC(=S)N1,1
CC(C(O)=O)(OC1=CC=C(C=C1)C2CCCC3=C2C=CC=C3)C,0
O=N[O-].[Na+],0
[O-][N+](C1=CC=C(C2=CSC(NC(C)=O)=N2)O1)=O,1
[O-][N+](=O)C1=CC=C(O1)C2=CSC(=N2)NC=O,1
O=[N+](C1=CC=C2C3=C1C=CC=C3CC2)[O-],0
N(CC(CO)O)(CC(O)C)N=O,1
N(CC(CO)O)(CC(C)=O)N=O,1
N(CC(CO)O)(CCO)N=O,0
O=C(C)CN(N=O)CCO,1
C1C(N(C(CN1N=O)C)C)C,1
N(CC(C)=O)(CC=C)N=O,1
N(CC(CO)O)(C)N=O,1
O=NN1CCOCC1,1
N1C=CC=C(C=1)C2N(N=O)CCC2,1
C1=CC=C(C=[N+]1[O-])C2CCCN2N=O,0
O=NN1CCCCC1,1
O=NN1CCCC1,1
O=C(N(CC(C)=O)N=O)NCCCl,1
N(C(=O)N)(N=O)CC(C)=O,1
C1(CCN=C=S)=CC=CC=C1,0
O=C1C(C2=CC=CC=C2)(C(=O)NC(=O)N1)CC,0
C1=C2C(=CC=C1NC3=CC=CC=C3)C=CC=C2,0
O=C1N2C(C3=C(C=CC=C3)CC2)CN(C1)C(=O)C4CCCCC4,0
C1(=CC(=C(O)C=C1)O)C(O)=O,0
O=C1C2=C(C=C(C=C2O)O)O/C(=C\1O)C3=CC(=C(C=C3)O)O.O.O,0
C1=C(C=CC(=C1)C(C2=CC=C(N)C(=C2)C)=C3C=CC(=N)C=C3)N.[H]Cl,0
C(C1=CC=C(C=C1)N)(C2=CC=C(C=C2)N)=C3C=CC(C=C3)=N.[H]Cl,0
OC2=CC1=C(C(O)=C2)C(C(O[C@@H]4O[C@@H]([C@H]([C@H](O)[C@H]4O)O)CO[C@H]3[C@H](O)[C@H](O)[C@H]([C@H](C)O3)O)=C(C5=CC(O)=C(C=C5)O)O1)=O,0
ClC(=CCl)Cl,0
NC(=O)OCC,1
C=CCl,1
N#[N+]C1=CC=CC=C1.F[B-](F)(F)F,0
C1(CN(CC(N1N=O)C)N=O)C,1
N(CCN(C)C)(C)N=O,1
C1(CN(N=O)CC(O1)C)C,1
O1C(N(CC1C)N=O)=O,1
CCOC(=O)N(C)N=O,1
C1N(COC1)N=O,1
O=C(N(CCC1=CC=CC=C1)N=O)N,1
O=NN1CCC1,1
F[B-](F)(F)F.[Na+],0
